market,category,split,array_index,history_start,origin_week,forecast_origin,target_start,target_end,dataset_version,dataset_status
JP,accommodation_staycation,train,19,2015-05-10,2016-05-01,2016-05-08 00:00:00+00:00,2016-05-08,2016-07-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,20,2015-05-17,2016-05-08,2016-05-15 00:00:00+00:00,2016-05-15,2016-07-31,demand-v2-provisional,provisional
JP,accommodation_staycation,train,21,2015-05-24,2016-05-15,2016-05-22 00:00:00+00:00,2016-05-22,2016-08-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,22,2015-05-31,2016-05-22,2016-05-29 00:00:00+00:00,2016-05-29,2016-08-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,23,2015-06-07,2016-05-29,2016-06-05 00:00:00+00:00,2016-06-05,2016-08-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,24,2015-06-14,2016-06-05,2016-06-12 00:00:00+00:00,2016-06-12,2016-08-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,25,2015-06-21,2016-06-12,2016-06-19 00:00:00+00:00,2016-06-19,2016-09-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,26,2015-06-28,2016-06-19,2016-06-26 00:00:00+00:00,2016-06-26,2016-09-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,27,2015-07-05,2016-06-26,2016-07-03 00:00:00+00:00,2016-07-03,2016-09-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,28,2015-07-12,2016-07-03,2016-07-10 00:00:00+00:00,2016-07-10,2016-09-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,29,2015-07-19,2016-07-10,2016-07-17 00:00:00+00:00,2016-07-17,2016-10-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,30,2015-07-26,2016-07-17,2016-07-24 00:00:00+00:00,2016-07-24,2016-10-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,31,2015-08-02,2016-07-24,2016-07-31 00:00:00+00:00,2016-07-31,2016-10-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,32,2015-08-09,2016-07-31,2016-08-07 00:00:00+00:00,2016-08-07,2016-10-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,33,2015-08-16,2016-08-07,2016-08-14 00:00:00+00:00,2016-08-14,2016-10-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,34,2015-08-23,2016-08-14,2016-08-21 00:00:00+00:00,2016-08-21,2016-11-06,demand-v2-provisional,provisional
JP,accommodation_staycation,train,35,2015-08-30,2016-08-21,2016-08-28 00:00:00+00:00,2016-08-28,2016-11-13,demand-v2-provisional,provisional
JP,accommodation_staycation,train,36,2015-09-06,2016-08-28,2016-09-04 00:00:00+00:00,2016-09-04,2016-11-20,demand-v2-provisional,provisional
JP,accommodation_staycation,train,37,2015-09-13,2016-09-04,2016-09-11 00:00:00+00:00,2016-09-11,2016-11-27,demand-v2-provisional,provisional
JP,accommodation_staycation,train,38,2015-09-20,2016-09-11,2016-09-18 00:00:00+00:00,2016-09-18,2016-12-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,39,2015-09-27,2016-09-18,2016-09-25 00:00:00+00:00,2016-09-25,2016-12-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,40,2015-10-04,2016-09-25,2016-10-02 00:00:00+00:00,2016-10-02,2016-12-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,41,2015-10-11,2016-10-02,2016-10-09 00:00:00+00:00,2016-10-09,2016-12-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,42,2015-10-18,2016-10-09,2016-10-16 00:00:00+00:00,2016-10-16,2017-01-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,43,2015-10-25,2016-10-16,2016-10-23 00:00:00+00:00,2016-10-23,2017-01-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,44,2015-11-01,2016-10-23,2016-10-30 00:00:00+00:00,2016-10-30,2017-01-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,45,2015-11-08,2016-10-30,2016-11-06 00:00:00+00:00,2016-11-06,2017-01-22,demand-v2-provisional,provisional
JP,accommodation_staycation,train,46,2015-11-15,2016-11-06,2016-11-13 00:00:00+00:00,2016-11-13,2017-01-29,demand-v2-provisional,provisional
JP,accommodation_staycation,train,47,2015-11-22,2016-11-13,2016-11-20 00:00:00+00:00,2016-11-20,2017-02-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,48,2015-11-29,2016-11-20,2016-11-27 00:00:00+00:00,2016-11-27,2017-02-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,49,2015-12-06,2016-11-27,2016-12-04 00:00:00+00:00,2016-12-04,2017-02-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,50,2015-12-13,2016-12-04,2016-12-11 00:00:00+00:00,2016-12-11,2017-02-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,51,2015-12-20,2016-12-11,2016-12-18 00:00:00+00:00,2016-12-18,2017-03-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,52,2015-12-27,2016-12-18,2016-12-25 00:00:00+00:00,2016-12-25,2017-03-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,53,2016-01-03,2016-12-25,2017-01-01 00:00:00+00:00,2017-01-01,2017-03-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,54,2016-01-10,2017-01-01,2017-01-08 00:00:00+00:00,2017-01-08,2017-03-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,55,2016-01-17,2017-01-08,2017-01-15 00:00:00+00:00,2017-01-15,2017-04-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,56,2016-01-24,2017-01-15,2017-01-22 00:00:00+00:00,2017-01-22,2017-04-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,57,2016-01-31,2017-01-22,2017-01-29 00:00:00+00:00,2017-01-29,2017-04-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,58,2016-02-07,2017-01-29,2017-02-05 00:00:00+00:00,2017-02-05,2017-04-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,59,2016-02-14,2017-02-05,2017-02-12 00:00:00+00:00,2017-02-12,2017-04-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,60,2016-02-21,2017-02-12,2017-02-19 00:00:00+00:00,2017-02-19,2017-05-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,61,2016-02-28,2017-02-19,2017-02-26 00:00:00+00:00,2017-02-26,2017-05-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,62,2016-03-06,2017-02-26,2017-03-05 00:00:00+00:00,2017-03-05,2017-05-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,63,2016-03-13,2017-03-05,2017-03-12 00:00:00+00:00,2017-03-12,2017-05-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,64,2016-03-20,2017-03-12,2017-03-19 00:00:00+00:00,2017-03-19,2017-06-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,65,2016-03-27,2017-03-19,2017-03-26 00:00:00+00:00,2017-03-26,2017-06-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,66,2016-04-03,2017-03-26,2017-04-02 00:00:00+00:00,2017-04-02,2017-06-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,67,2016-04-10,2017-04-02,2017-04-09 00:00:00+00:00,2017-04-09,2017-06-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,68,2016-04-17,2017-04-09,2017-04-16 00:00:00+00:00,2017-04-16,2017-07-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,69,2016-04-24,2017-04-16,2017-04-23 00:00:00+00:00,2017-04-23,2017-07-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,70,2016-05-01,2017-04-23,2017-04-30 00:00:00+00:00,2017-04-30,2017-07-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,71,2016-05-08,2017-04-30,2017-05-07 00:00:00+00:00,2017-05-07,2017-07-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,72,2016-05-15,2017-05-07,2017-05-14 00:00:00+00:00,2017-05-14,2017-07-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,73,2016-05-22,2017-05-14,2017-05-21 00:00:00+00:00,2017-05-21,2017-08-06,demand-v2-provisional,provisional
JP,accommodation_staycation,train,74,2016-05-29,2017-05-21,2017-05-28 00:00:00+00:00,2017-05-28,2017-08-13,demand-v2-provisional,provisional
JP,accommodation_staycation,train,75,2016-06-05,2017-05-28,2017-06-04 00:00:00+00:00,2017-06-04,2017-08-20,demand-v2-provisional,provisional
JP,accommodation_staycation,train,76,2016-06-12,2017-06-04,2017-06-11 00:00:00+00:00,2017-06-11,2017-08-27,demand-v2-provisional,provisional
JP,accommodation_staycation,train,77,2016-06-19,2017-06-11,2017-06-18 00:00:00+00:00,2017-06-18,2017-09-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,78,2016-06-26,2017-06-18,2017-06-25 00:00:00+00:00,2017-06-25,2017-09-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,79,2016-07-03,2017-06-25,2017-07-02 00:00:00+00:00,2017-07-02,2017-09-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,80,2016-07-10,2017-07-02,2017-07-09 00:00:00+00:00,2017-07-09,2017-09-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,81,2016-07-17,2017-07-09,2017-07-16 00:00:00+00:00,2017-07-16,2017-10-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,82,2016-07-24,2017-07-16,2017-07-23 00:00:00+00:00,2017-07-23,2017-10-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,83,2016-07-31,2017-07-23,2017-07-30 00:00:00+00:00,2017-07-30,2017-10-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,84,2016-08-07,2017-07-30,2017-08-06 00:00:00+00:00,2017-08-06,2017-10-22,demand-v2-provisional,provisional
JP,accommodation_staycation,train,85,2016-08-14,2017-08-06,2017-08-13 00:00:00+00:00,2017-08-13,2017-10-29,demand-v2-provisional,provisional
JP,accommodation_staycation,train,86,2016-08-21,2017-08-13,2017-08-20 00:00:00+00:00,2017-08-20,2017-11-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,87,2016-08-28,2017-08-20,2017-08-27 00:00:00+00:00,2017-08-27,2017-11-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,88,2016-09-04,2017-08-27,2017-09-03 00:00:00+00:00,2017-09-03,2017-11-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,89,2016-09-11,2017-09-03,2017-09-10 00:00:00+00:00,2017-09-10,2017-11-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,90,2016-09-18,2017-09-10,2017-09-17 00:00:00+00:00,2017-09-17,2017-12-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,91,2016-09-25,2017-09-17,2017-09-24 00:00:00+00:00,2017-09-24,2017-12-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,92,2016-10-02,2017-09-24,2017-10-01 00:00:00+00:00,2017-10-01,2017-12-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,93,2016-10-09,2017-10-01,2017-10-08 00:00:00+00:00,2017-10-08,2017-12-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,94,2016-10-16,2017-10-08,2017-10-15 00:00:00+00:00,2017-10-15,2017-12-31,demand-v2-provisional,provisional
JP,accommodation_staycation,train,95,2016-10-23,2017-10-15,2017-10-22 00:00:00+00:00,2017-10-22,2018-01-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,96,2016-10-30,2017-10-22,2017-10-29 00:00:00+00:00,2017-10-29,2018-01-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,97,2016-11-06,2017-10-29,2017-11-05 00:00:00+00:00,2017-11-05,2018-01-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,98,2016-11-13,2017-11-05,2017-11-12 00:00:00+00:00,2017-11-12,2018-01-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,99,2016-11-20,2017-11-12,2017-11-19 00:00:00+00:00,2017-11-19,2018-02-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,100,2016-11-27,2017-11-19,2017-11-26 00:00:00+00:00,2017-11-26,2018-02-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,101,2016-12-04,2017-11-26,2017-12-03 00:00:00+00:00,2017-12-03,2018-02-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,102,2016-12-11,2017-12-03,2017-12-10 00:00:00+00:00,2017-12-10,2018-02-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,103,2016-12-18,2017-12-10,2017-12-17 00:00:00+00:00,2017-12-17,2018-03-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,104,2016-12-25,2017-12-17,2017-12-24 00:00:00+00:00,2017-12-24,2018-03-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,105,2017-01-01,2017-12-24,2017-12-31 00:00:00+00:00,2017-12-31,2018-03-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,106,2017-01-08,2017-12-31,2018-01-07 00:00:00+00:00,2018-01-07,2018-03-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,107,2017-01-15,2018-01-07,2018-01-14 00:00:00+00:00,2018-01-14,2018-04-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,108,2017-01-22,2018-01-14,2018-01-21 00:00:00+00:00,2018-01-21,2018-04-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,109,2017-01-29,2018-01-21,2018-01-28 00:00:00+00:00,2018-01-28,2018-04-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,110,2017-02-05,2018-01-28,2018-02-04 00:00:00+00:00,2018-02-04,2018-04-22,demand-v2-provisional,provisional
JP,accommodation_staycation,train,111,2017-02-12,2018-02-04,2018-02-11 00:00:00+00:00,2018-02-11,2018-04-29,demand-v2-provisional,provisional
JP,accommodation_staycation,train,112,2017-02-19,2018-02-11,2018-02-18 00:00:00+00:00,2018-02-18,2018-05-06,demand-v2-provisional,provisional
JP,accommodation_staycation,train,113,2017-02-26,2018-02-18,2018-02-25 00:00:00+00:00,2018-02-25,2018-05-13,demand-v2-provisional,provisional
JP,accommodation_staycation,train,114,2017-03-05,2018-02-25,2018-03-04 00:00:00+00:00,2018-03-04,2018-05-20,demand-v2-provisional,provisional
JP,accommodation_staycation,train,115,2017-03-12,2018-03-04,2018-03-11 00:00:00+00:00,2018-03-11,2018-05-27,demand-v2-provisional,provisional
JP,accommodation_staycation,train,116,2017-03-19,2018-03-11,2018-03-18 00:00:00+00:00,2018-03-18,2018-06-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,117,2017-03-26,2018-03-18,2018-03-25 00:00:00+00:00,2018-03-25,2018-06-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,118,2017-04-02,2018-03-25,2018-04-01 00:00:00+00:00,2018-04-01,2018-06-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,119,2017-04-09,2018-04-01,2018-04-08 00:00:00+00:00,2018-04-08,2018-06-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,120,2017-04-16,2018-04-08,2018-04-15 00:00:00+00:00,2018-04-15,2018-07-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,121,2017-04-23,2018-04-15,2018-04-22 00:00:00+00:00,2018-04-22,2018-07-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,122,2017-04-30,2018-04-22,2018-04-29 00:00:00+00:00,2018-04-29,2018-07-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,123,2017-05-07,2018-04-29,2018-05-06 00:00:00+00:00,2018-05-06,2018-07-22,demand-v2-provisional,provisional
JP,accommodation_staycation,train,124,2017-05-14,2018-05-06,2018-05-13 00:00:00+00:00,2018-05-13,2018-07-29,demand-v2-provisional,provisional
JP,accommodation_staycation,train,125,2017-05-21,2018-05-13,2018-05-20 00:00:00+00:00,2018-05-20,2018-08-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,126,2017-05-28,2018-05-20,2018-05-27 00:00:00+00:00,2018-05-27,2018-08-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,127,2017-06-04,2018-05-27,2018-06-03 00:00:00+00:00,2018-06-03,2018-08-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,128,2017-06-11,2018-06-03,2018-06-10 00:00:00+00:00,2018-06-10,2018-08-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,129,2017-06-18,2018-06-10,2018-06-17 00:00:00+00:00,2018-06-17,2018-09-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,130,2017-06-25,2018-06-17,2018-06-24 00:00:00+00:00,2018-06-24,2018-09-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,131,2017-07-02,2018-06-24,2018-07-01 00:00:00+00:00,2018-07-01,2018-09-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,132,2017-07-09,2018-07-01,2018-07-08 00:00:00+00:00,2018-07-08,2018-09-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,133,2017-07-16,2018-07-08,2018-07-15 00:00:00+00:00,2018-07-15,2018-09-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,134,2017-07-23,2018-07-15,2018-07-22 00:00:00+00:00,2018-07-22,2018-10-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,135,2017-07-30,2018-07-22,2018-07-29 00:00:00+00:00,2018-07-29,2018-10-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,136,2017-08-06,2018-07-29,2018-08-05 00:00:00+00:00,2018-08-05,2018-10-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,137,2017-08-13,2018-08-05,2018-08-12 00:00:00+00:00,2018-08-12,2018-10-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,138,2017-08-20,2018-08-12,2018-08-19 00:00:00+00:00,2018-08-19,2018-11-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,139,2017-08-27,2018-08-19,2018-08-26 00:00:00+00:00,2018-08-26,2018-11-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,140,2017-09-03,2018-08-26,2018-09-02 00:00:00+00:00,2018-09-02,2018-11-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,141,2017-09-10,2018-09-02,2018-09-09 00:00:00+00:00,2018-09-09,2018-11-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,142,2017-09-17,2018-09-09,2018-09-16 00:00:00+00:00,2018-09-16,2018-12-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,143,2017-09-24,2018-09-16,2018-09-23 00:00:00+00:00,2018-09-23,2018-12-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,144,2017-10-01,2018-09-23,2018-09-30 00:00:00+00:00,2018-09-30,2018-12-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,145,2017-10-08,2018-09-30,2018-10-07 00:00:00+00:00,2018-10-07,2018-12-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,146,2017-10-15,2018-10-07,2018-10-14 00:00:00+00:00,2018-10-14,2018-12-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,147,2017-10-22,2018-10-14,2018-10-21 00:00:00+00:00,2018-10-21,2019-01-06,demand-v2-provisional,provisional
JP,accommodation_staycation,train,148,2017-10-29,2018-10-21,2018-10-28 00:00:00+00:00,2018-10-28,2019-01-13,demand-v2-provisional,provisional
JP,accommodation_staycation,train,149,2017-11-05,2018-10-28,2018-11-04 00:00:00+00:00,2018-11-04,2019-01-20,demand-v2-provisional,provisional
JP,accommodation_staycation,train,150,2017-11-12,2018-11-04,2018-11-11 00:00:00+00:00,2018-11-11,2019-01-27,demand-v2-provisional,provisional
JP,accommodation_staycation,train,151,2017-11-19,2018-11-11,2018-11-18 00:00:00+00:00,2018-11-18,2019-02-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,152,2017-11-26,2018-11-18,2018-11-25 00:00:00+00:00,2018-11-25,2019-02-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,153,2017-12-03,2018-11-25,2018-12-02 00:00:00+00:00,2018-12-02,2019-02-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,154,2017-12-10,2018-12-02,2018-12-09 00:00:00+00:00,2018-12-09,2019-02-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,155,2017-12-17,2018-12-09,2018-12-16 00:00:00+00:00,2018-12-16,2019-03-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,156,2017-12-24,2018-12-16,2018-12-23 00:00:00+00:00,2018-12-23,2019-03-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,157,2017-12-31,2018-12-23,2018-12-30 00:00:00+00:00,2018-12-30,2019-03-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,158,2018-01-07,2018-12-30,2019-01-06 00:00:00+00:00,2019-01-06,2019-03-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,159,2018-01-14,2019-01-06,2019-01-13 00:00:00+00:00,2019-01-13,2019-03-31,demand-v2-provisional,provisional
JP,accommodation_staycation,train,160,2018-01-21,2019-01-13,2019-01-20 00:00:00+00:00,2019-01-20,2019-04-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,161,2018-01-28,2019-01-20,2019-01-27 00:00:00+00:00,2019-01-27,2019-04-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,162,2018-02-04,2019-01-27,2019-02-03 00:00:00+00:00,2019-02-03,2019-04-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,163,2018-02-11,2019-02-03,2019-02-10 00:00:00+00:00,2019-02-10,2019-04-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,164,2018-02-18,2019-02-10,2019-02-17 00:00:00+00:00,2019-02-17,2019-05-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,165,2018-02-25,2019-02-17,2019-02-24 00:00:00+00:00,2019-02-24,2019-05-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,166,2018-03-04,2019-02-24,2019-03-03 00:00:00+00:00,2019-03-03,2019-05-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,167,2018-03-11,2019-03-03,2019-03-10 00:00:00+00:00,2019-03-10,2019-05-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,168,2018-03-18,2019-03-10,2019-03-17 00:00:00+00:00,2019-03-17,2019-06-02,demand-v2-provisional,provisional
JP,accommodation_staycation,train,169,2018-03-25,2019-03-17,2019-03-24 00:00:00+00:00,2019-03-24,2019-06-09,demand-v2-provisional,provisional
JP,accommodation_staycation,train,170,2018-04-01,2019-03-24,2019-03-31 00:00:00+00:00,2019-03-31,2019-06-16,demand-v2-provisional,provisional
JP,accommodation_staycation,train,171,2018-04-08,2019-03-31,2019-04-07 00:00:00+00:00,2019-04-07,2019-06-23,demand-v2-provisional,provisional
JP,accommodation_staycation,train,172,2018-04-15,2019-04-07,2019-04-14 00:00:00+00:00,2019-04-14,2019-06-30,demand-v2-provisional,provisional
JP,accommodation_staycation,train,173,2018-04-22,2019-04-14,2019-04-21 00:00:00+00:00,2019-04-21,2019-07-07,demand-v2-provisional,provisional
JP,accommodation_staycation,train,174,2018-04-29,2019-04-21,2019-04-28 00:00:00+00:00,2019-04-28,2019-07-14,demand-v2-provisional,provisional
JP,accommodation_staycation,train,175,2018-05-06,2019-04-28,2019-05-05 00:00:00+00:00,2019-05-05,2019-07-21,demand-v2-provisional,provisional
JP,accommodation_staycation,train,176,2018-05-13,2019-05-05,2019-05-12 00:00:00+00:00,2019-05-12,2019-07-28,demand-v2-provisional,provisional
JP,accommodation_staycation,train,177,2018-05-20,2019-05-12,2019-05-19 00:00:00+00:00,2019-05-19,2019-08-04,demand-v2-provisional,provisional
JP,accommodation_staycation,train,178,2018-05-27,2019-05-19,2019-05-26 00:00:00+00:00,2019-05-26,2019-08-11,demand-v2-provisional,provisional
JP,accommodation_staycation,train,179,2018-06-03,2019-05-26,2019-06-02 00:00:00+00:00,2019-06-02,2019-08-18,demand-v2-provisional,provisional
JP,accommodation_staycation,train,180,2018-06-10,2019-06-02,2019-06-09 00:00:00+00:00,2019-06-09,2019-08-25,demand-v2-provisional,provisional
JP,accommodation_staycation,train,181,2018-06-17,2019-06-09,2019-06-16 00:00:00+00:00,2019-06-16,2019-09-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,182,2018-06-24,2019-06-16,2019-06-23 00:00:00+00:00,2019-06-23,2019-09-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,183,2018-07-01,2019-06-23,2019-06-30 00:00:00+00:00,2019-06-30,2019-09-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,184,2018-07-08,2019-06-30,2019-07-07 00:00:00+00:00,2019-07-07,2019-09-22,demand-v2-provisional,provisional
